title,url,artist,songwriter,composer,preview
木苺の茂みに,https://j-lyric.net/artist/a04d6b8/l02c48a.html,Kalafina,梶浦由記,梶浦由記,木いちごの茂みに恋心甘く実って唇染めながら...
貴一の早口言葉,https://j-lyric.net/artist/a04da3f/l00cdc5.html,竹本英史,UZA,UZA,問題　以下の早口言葉を正しく発音しなさい生麦生 ...
きいて,https://j-lyric.net/artist/a05f0e5/l048f96.html,番匠谷紗衣,番匠谷紗衣,番匠谷紗衣,きいて、きょうともだちよりなわとびがとべたよきいて ...
聴いて,https://j-lyric.net/artist/a0571c3/l04fb1e.html,鹿乃,鹿乃,田中秀和(MONACA),どうか私の言葉響いてどうかあなたの心で聴いてと ...
きいてアロエリーナ きいてマルゲリータ,https://j-lyric.net/artist/a04aa01/l001341.html,ソルベッツ,ハラ・ペコリーノ,鈴木慶一,※きいてアロエリーナちょっと言いにくいんだけど...
聞いて下さい,https://j-lyric.net/artist/a002e7a/l00e24b.html,裕木奈江,裕木奈江,山口美央子,ちょっとだけ話　聞いてください午後の陽ざし帰り路 ...
聞いて頂載この話,https://j-lyric.net/artist/a000081/l016d70.html,畠山みどり,星野哲郎,市川昭介,コラ きいてちょうだいなヤアキター サッサコイ ...
聞いてほしいこと,https://j-lyric.net/artist/a04c083/l00b341.html,やなわらばー,やなわらばー,やなわらばー,受話器の向こうから聞こえる母の温かい声｢元気にして ...
聞いてほしいこと,https://j-lyric.net/artist/a05b960/l044f80.html,GIRLFRIEND,SAKIKA,NAGISA,あっという間に過ぎていった3年間一生で一度だけの卒 ...
聞いてよ,https://j-lyric.net/artist/a05f3ab/l04b8b9.html,原田珠々華,原田珠々華,原田珠々華,目を擦って　隙間光に夢の高鳴りを忘れた昨日の夜 ...
聞いてよダイヤリー,https://j-lyric.net/artist/a000f0c/l00d91c.html,小西寛子,松葉美保,矢吹俊郎、木下真弓,お腹が空いたなら　つまみ食いをしちゃうの昨日見 ...
聞いてる,https://j-lyric.net/artist/a05c01e/l04d93b.html,ヒグチアイ,ヒグチアイ,ヒグチアイ,ここに目指すものはないからとバックレた新人アルバイ ...
生絲,https://j-lyric.net/artist/a05f5f3/l054347.html,神山羊,神山羊,神山羊,かなしみがつづく街明かりの影隠れてどこへでもゆ ...
君のてのごい,https://j-lyric.net/artist/a05c7a9/l03ed86.html,きおい,MONA,BJP,眠い目をこする朝には　ふと君のことを思い出すよ山笠 ...
黄色,https://j-lyric.net/artist/a04fdf2/l05610d.html,back number,清水依与吏,清水依与吏,今は硝子の蓋を閉めてこの気持ちが私の胸を衝いて ...
キイロイアメノウタ feat. メロディー・チューバック / Nj,https://j-lyric.net/artist/a05c389/l0449a5.html,メロディー・チューバック,藤村忠寿,Nj,8階の窓から　見えるビルのあかり8時を回って　やっ ...
キイロイアメノウタ feat.メロディー・チューバック,https://j-lyric.net/artist/a05de9b/l044f9a.html,Nj,藤村忠寿,Nj,8階の窓から 見えるビルのあかり8時を回って やっ ...
黄色い犬,https://j-lyric.net/artist/a000701/l00f4f3.html,中島みゆき,中島みゆき,中島みゆき,"Yes, I'm YellowYes, I'm Y ..."
黄色いお空でBOOM BOOM BOOM,https://j-lyric.net/artist/a004e80/l000ad9.html,黄色5,つんく,つんく,BOOM BOOMYES YES GO GO  ...
黄色いお空でBOOM BOOM BOOM,https://j-lyric.net/artist/a000ca1/l01477a.html,安倍なつみ,つんく,つんく,BOOM BOOMYES YES GO GO  ...
黄色いカーディガン,https://j-lyric.net/artist/a0004ad/l00f75b.html,松田聖子,松本隆,細野晴臣,れんげの花咲き乱れる野原横切り日傘振れば黒い汽車が ...
黄色い傘,https://j-lyric.net/artist/a05d8f2/l043aea.html,フルーティー,岩野祐二,南間優,雨の日には　傘をさす　雨の日には　傘さす雨の日には ...
黄色いカラス,https://j-lyric.net/artist/a04f687/l014cda.html,tacica,猪狩,猪狩,元を辿れば僕の全部取り返さなきゃ意味はなくて千 ...
きいろいくるま,https://j-lyric.net/artist/a04b25d/l0550f8.html,U,U,マキアダチ,待ってたよ　僕はずっとね　えのぐでぬった　みたい海 ...
黄色い車,https://j-lyric.net/artist/a04d6c9/l0161d6.html,サカナクション,山口,山口,黄色い車 実は今の話には続きがあるけど今のところ  ...
黄色い車,https://j-lyric.net/artist/a059eab/l03ccbc.html,Official髭男dism,藤原聡,藤原聡,「行ってきます」 この人生でもう何度口にしたのだろう ...
黄色い声が聞きたくて,https://j-lyric.net/artist/a05f955/l04a9e9.html,ポセイドン・石川,ポセイドン・石川,ポセイドン・石川,煌めくこのステージ　袖でみていたさあ聞かせておくれ ...
黄色い午後,https://j-lyric.net/artist/a061fd0/l057f7b.html,Roomania,fuya,fuya,プレゼント探す　午後に　困り顔は似合わなかった帰り ...
黄色いさくらんぼ,https://j-lyric.net/artist/a001371/l001023.html,スリー・キャッツ,星野哲郎,浜口庫之助,若い娘は ウフンお色気ありそうで ウフンなさそ ...
黄色いさくらんぼ,https://j-lyric.net/artist/a000605/l01f6b7.html,五木ひろし,星野哲郎,浜口庫之助,若い娘は　ン　ンーお色気ありそうで　ン　ンーな ...
黄色いシャツ,https://j-lyric.net/artist/a004c58/l00124a.html,李成愛,孫夕友,孫夕友,黄色いシャツ着た 無口な男オッチョンジ 惹かれる ...
黄色い自転車,https://j-lyric.net/artist/a001fc9/l019414.html,ベッツィ&クリス,マイク真木,マイク真木,いなかの小道を歩いているとどこから来たのか 不思議 ...
黄色い自転車,https://j-lyric.net/artist/a0531e0/l02c004.html,MinxZone,MinxZone,MinxZone,曲がり角 間違えたでもおかげで素敵なカフェを見つけ ...
黄色い自転車とサンドウィッチ,https://j-lyric.net/artist/a052bda/l028df1.html,スマイレージ,つんく,つんく,黄色い自転車私のママチャリ遅いな君についてくの ...
黄色い太陽,https://j-lyric.net/artist/a007a75/l0018ff.html,ザ・パーマネンツ,田光マコト,田光マコト,8月の太陽が ギラギラと私の心の中を 狂わせる...
黄色いチューリップ,https://j-lyric.net/artist/a000afb/l016fb4.html,小泉今日子,三浦,鈴木,まるで あなたのためにだけそうよ生まれて来たみたい ...
黄色い月,https://j-lyric.net/artist/a0009fe/l007f65.html,石原裕次郎,萩原四朗,野崎眞一,古い さびれた 桟橋を 渡れば つづく 街の屋根俺 ...
黄色い月,https://j-lyric.net/artist/a001c0b/l049837.html,高野寛,高野寛,高野寛,笑顔や悲しみの声も届かぬ程離れてた僕らがこんなに近 ...
黄色いTV,https://j-lyric.net/artist/a00077f/l00fd23.html,今井美樹,岩里,上田知華,彼が来る土曜の夜も彼が来ないふつうの夜もわたし ...
黄色い電車,https://j-lyric.net/artist/a04dd19/l02475b.html,多田葵,Aoi,Aoi,なつかしい黄色い電車 3両目あれ以来 乗るのは2年 ...
黄色い花,https://j-lyric.net/artist/a004e99/l00a4a7.html,竹仲絵里,竹仲絵里,竹仲絵里,遠い先の事だと思ってた日が 来たんだね込み上げる喜 ...
黄色い花,https://j-lyric.net/artist/a05607a/l03a0fc.html,赤い公園,津野米咲,津野米咲,もしもあなたが悲しくって俯いてしまった時にはせ ...
黄色いバカンス,https://j-lyric.net/artist/a02f66a/l007efa.html,桃月学園1年C組片桐姫子&橘玲(折笠富美子&雪野五月),斉藤,河合英嗣,ルーズに恋する乙女は ダイヤモンドで眩しい太陽カラ ...
黄色いひまわり,https://j-lyric.net/artist/a0539f3/l01feeb.html,花澤香菜 with こどもたち,未浦愛子,はまたけし,青い　青い　お空の下でさわろう　さわろう　ふわふわ ...
黄色いビキニの女の子,https://j-lyric.net/artist/a04ae45/l028af9.html,ずうとるび,たかたかし,山田隆夫,黄色いビキニがよく似合うあの子は可愛い ひまわりっ ...
黄色い船,https://j-lyric.net/artist/a001d22/l011bbf.html,かぐや姫,山田,山田,熱い日射しに 輝いたオレンジの山見ながら飲んで ...
黄色い船,https://j-lyric.net/artist/a001fb4/l02c4b3.html,山田パンダ,山田つぐと,山田つぐと,熱い日射しに 輝いたオレンジの山見ながら飲んでる  ...
黄色い帽子,https://j-lyric.net/artist/a0006e1/l01a466.html,GOING UNDER GROUND,河野,河野,春雨薫る夕べ 帰り道で ぼんやりバスを待って人を見 ...
黄色い帽子を買いに行こう,https://j-lyric.net/artist/a01e8d0/l02e535.html,カジヒデキ,Hideki,Hideki,黄色い帽子を買いに行こう黄色い帽子を買いに行こう ...
黄色い道,https://j-lyric.net/artist/a04accb/l004bd6.html,ANATAKIKOU,北條,北條,ひとまたぎする道の向こうにあの娘が見える探し物なら ...
黄色い麦わら帽子,https://j-lyric.net/artist/a000bc2/l00e87f.html,松崎しげる,ちあき哲也,中村泰士,黄色い麦わら帽子の 女の子今年も逢えるかな夏の ...
きいろい木馬,https://j-lyric.net/artist/a065c76/l05e89e.html,奈々瀬ひとみ,しぶやしげお,渋谷毅,きいろい木馬が空をとびとびそこなって　おちました ...
黄色いリボン,https://j-lyric.net/artist/a0009b5/l0069db.html,桜田淳子,阿久悠,森田公一,風になびく黄色いリボン丘を駆ける麦わら帽子きっ ...
黄色いレモン,https://j-lyric.net/artist/a052d9f/l02ba51.html,望月浩,橋本淳,筒美京平,黄色いレモンに 涙がこぼれるあの娘はすっぱい 恋を ...
黄色いレモン,https://j-lyric.net/artist/a057d18/l02db37.html,あいざき進也,橋本淳,すぎやまこういち,黄色いレモンに 涙がこぼれるあの娘はすっぱい 恋を ...
黄色いレモン,https://j-lyric.net/artist/a057ed4/l02e013.html,藤浩一,橋本淳,筒美京平,黄色いレモンに 涙がこぼれるあの娘はすっぱい 恋を ...
黄色いロールスロイス,https://j-lyric.net/artist/a0504da/l017208.html,松任谷由実&加藤和彦,松任谷由実,松任谷由実,黄色いロールスロイスでふられたばかりのシーンを次へ ...
黄色いロールスロイス,https://j-lyric.net/artist/a000c13/l0172bc.html,松任谷由実,松任谷由実,松任谷由実,黄色いロールスロイスでふられたばかりのシーンを次へ ...
夢色ダイアリー,https://j-lyric.net/artist/a05c79a/l03ed11.html,夢色ダイアリー(夏目真尋(茅原実里)/春宮つぐみ(高垣彩陽)),伊藤翼,伊藤翼,幼いころ見た恋の魔法 むかしむかしの物語だよ願いを ...
きいろ並木道,https://j-lyric.net/artist/a05dfeb/l044dc3.html,さきどり発進局,山崎連基,MARKOV,恋ふりむき　並木道すれちがい　風吹くシーズン乱 ...
キイロのうた,https://j-lyric.net/artist/a057910/l047873.html,水曜日のカンパネラ,コムアイ,コムアイ・ケンモチヒデフミ・zAk,風速が増す背中を押す夕焼けへ帰る鳥たち飛び ...
金色の風,https://j-lyric.net/artist/a053022/l01e108.html,TRADEMARK,TRADEMARK,TRADEMARK,遠くで小さな太陽が震えている夜空が運んだ優しい眠り ...
黄色の信号,https://j-lyric.net/artist/a06130b/l05f224.html,映秀。,映秀。,映秀。,黄色の信号　僕は悩む赤は止まる　青は進む教えて ...
夢色の翼,https://j-lyric.net/artist/a007bf9/l04cdbb.html,鮎川麻弥,鮎川麻弥,鮎川麻弥,夢色の翼　刻をこえてゆく雲間から降りる光へ...
キーワードを探せ,https://j-lyric.net/artist/a001cfa/l005359.html,杏里,丸山圭子,丸山圭子,かた耳ピアスの 似合うあいつだったわ大人の口まね  ...
キウイ,https://j-lyric.net/artist/a04e1a8/l00e3ba.html,P&ART SASANOOOHA,P&ART,P&ART,じゃがいもみたいな色 してるせいかもねパッとしない ...
キウイ,https://j-lyric.net/artist/a04e1a8/l01dd78.html,P&ART SASANOOOHA,P&ART,P&ART,じゃがいもみたいな色 してるせいかもねパッとしない ...
キウイの主張,https://j-lyric.net/artist/a06272c/l053fb3.html,白組(22/7),秋元康,田辺望,それでも　好きでいてねえ　誰よりも美味しい私　 ...
キウイ畑の宇宙船(弾き語りver.),https://j-lyric.net/artist/a04a8e7/l049d0c.html,大石昌良,大石昌良,大石昌良,僕らのスターシップぎゅっと握りしめた操縦装置描 ...
きぇんたま,https://j-lyric.net/artist/a053444/l05907b.html,どぶろっく,どぶろっく,どぶろっく,たまたまたまたまたま僕きゃんたまーたまたまたま ...
消えそうな思い,https://j-lyric.net/artist/a00261a/l028f5e.html,吉沢梨絵,RIE,KEI,答えのない思いを 閉じ込め孤独をさけて はみ出さな ...
消えぞこない,https://j-lyric.net/artist/a02010a/l0378df.html,フラワーカンパニーズ,鈴木圭介,鈴木圭介,消えぞこない 消えぞこない 消えぞこないでも立っている ...
キエタイクライ,https://j-lyric.net/artist/a0571f4/l02fa4e.html,河西智美,KUREI(キマグレン),ISEKI(キマグレン),キエタイクライ君の事愛した梅雨明けの空をフラレ ...
消えた恋,https://j-lyric.net/artist/a02a3d3/l02000d.html,MAMALAID RAG,田中拡邦,田中拡邦,頬に張り付いた 髪がひとすじ夕暮れのテラス 手摺に ...
消えた財布と落とすバカ,https://j-lyric.net/artist/a052e4e/l01dc7d.html,LOVE LOVE LOVE,寺井,寺井,気付いたのは 暗い朝で右のポッケ 君がいないな...
消えたピエロと涙,https://j-lyric.net/artist/a055566/l037f43.html,アルカラ,アルカラ,アルカラ,さあさあ はじまりはじまりみなさん用意はいいですか ...
消えたプリンセス 8BIT Mix,https://j-lyric.net/artist/a0018fa/l03112b.html,桃井はるこ,三浦徳子,戸田誠司,きつめの香水ふと視線を移せば元気そうじゃないと ...
消えたプレヤード,https://j-lyric.net/artist/a04c0d3/l01a7e3.html,LUNKHEAD,小高芳太朗,小高芳太朗,燃え尽きていく夕方の雲東に吸い込まれる影今 ...
消えた星の行方,https://j-lyric.net/artist/a057fc3/l02f964.html,それでも世界が続くなら,篠塚将行,篠塚将行,ひとり 誰といたってひとりなにしても どこにいたっ ...
キエタミタイ,https://j-lyric.net/artist/a0590a3/l038460.html,THE ORAL CIGARETTES,山中拓也,山中拓也,壁を作っていた　道を探していた不安げな僕にS.O. ...
消えちゃうパープル・バタフライ,https://j-lyric.net/artist/a05a128/l036283.html,ベッド・イン,中尊寺まい,金丸佳史,じれて　じれて　じれて　妬かせて　せめて　せめて　つけ ...
消えちゃう前に,https://j-lyric.net/artist/a05e366/l061c85.html,Co shu Nie,中村未来,中村未来,消えちゃう前に　あまくとかしてひとつひとつ愛して感 ...
消えて,https://j-lyric.net/artist/a053f8f/l04c28a.html,モーモールルギャバン,モーモールルギャバン,モーモールルギャバン,夕暮れ　ふたり　窓の外を眺め喋った懐かしい人と　悪 ...
消えていくもの,https://j-lyric.net/artist/a001cc0/l00998b.html,吉田拓郎,吉田拓郎,吉田拓郎,僕は角のたばこ屋サンが好きだった大した理由は無いけ ...
消えていくよ(Live),https://j-lyric.net/artist/a0583aa/l035c06.html,KEYTALK,寺中友将,首藤義勝/小野武正,くたびれてる日常さえ 捨てきれないからいっそのこと ...
消えてしまいそうです,https://j-lyric.net/artist/a05f6e2/l05a3ba.html,ずっと真夜中でいいのに。,ACAね,ACAね,助けたい表面　寂しさが少年始めからここに浸ってしま ...
消えてしまったハブーブ,https://j-lyric.net/artist/a05d392/l042510.html,ANZEN漫才(みやぞん),みやぞん,みやぞん,久方ぶりに会えた君 僕の前に突然現れた長い間会えな ...
消えてしまったハブーブ,https://j-lyric.net/artist/a05c953/l03f44d.html,みやぞん(ANZEN漫才),みやぞん,みやぞん,久方ぶりに会えた君　僕の前に突然現れた長い間会えな ...
消えてしまっても,https://j-lyric.net/artist/a05643a/l033188.html,奥島左珠,奥島左珠,奥島左珠,翌日には誰も知らぬといった私の思い出は嘘だといった ...
消えて、白雪姫,https://j-lyric.net/artist/a05a572/l038171.html,放課後プリンセス,石谷光,石谷光,蒼い空に映える　高くそびえる城に本当の事だけを言う ...
消えてなくなれ、夕暮れ,https://j-lyric.net/artist/a0552c1/l02d9de.html,井手綾香,井手綾香,井手綾香,ため息出るほどお似合いな二人オレンジ色の街で見つけ ...
消えてゆく,https://j-lyric.net/artist/a05b99c/l04524e.html,ソンジェ from 超新星,Woody/Kim,Woody/Kim,どれ程の時が過ぎ全てが止まったまま取り残されて ...
きえない,https://j-lyric.net/artist/a067020/l064aeb.html,NOMELON NOLEMON,ツミキ,ツミキ,夜が降って窓は藍の風景　果てしない音のない藍だった...
消えない,https://j-lyric.net/artist/a05c8ec/l04575b.html,井上実優,井上実優・ミワコウダイ,ミワコウダイ,胸の奥に触れさせて　抱きしめたいからずっとずっと好 ...
消えない,https://j-lyric.net/artist/a05607a/l04dd63.html,赤い公園,津野米咲,津野米咲,何度も励ましてくれたお気に入りの曲が初めてうる ...
消えない,https://j-lyric.net/artist/a06607c/l05f4ec.html,THE BINARY,新田目駿(HANO),mido(HANO),一人一つずつの欠片を合わせてみてぶつかった分だ ...
消えない feat.春茶,https://j-lyric.net/artist/a0641c9/l05a1bc.html,MIMiNARI,MIMiNARI,MIMiNARI,消えない、消えない、消えないほどに僕に鳴り響く...
消えない灯り,https://j-lyric.net/artist/a00230c/l022589.html,つじあやの,つじあやの,つじあやの,そう あなたのことをずっと想ってたねえ あなたは今 ...
消えない絵,https://j-lyric.net/artist/a006b67/l02d04c.html,真心ブラザーズ,真心ブラザーズ,真心ブラザーズ,いつでも ぼくの中に君がいてでも 何も言わない 微 ...
消えない想い,https://j-lyric.net/artist/a056f92/l039609.html,eyelis,増田武史,増田武史,ずっと同じ空の下　別の道を来たけれどやがて出会う　 ...
消えない悲しみ消せない記憶,https://j-lyric.net/artist/a0015e5/l002223.html,KinKi Kids,堂本光一,堂本光一,君と誓った永遠は闇の中 鍵をかけた記憶運命の針はも ...
消えない絆,https://j-lyric.net/artist/a04de16/l026918.html,カンノユウキ,カンノユウキ,YU,平穏過ぎたこの世界に包まれた僕の瞳は どこが濁って ...
消えない絆,https://j-lyric.net/artist/a05607d/l02cc37.html,MaxBoys(細谷佳正/増田俊樹),小林光一,小林光一,このままでいればきっと二人は同じ距離胸騒ぎ 時々  ...
消えないキャンドル,https://j-lyric.net/artist/a001c0f/l03b615.html,藤井フミヤ,藤井フミヤ,藤井フミヤ,この日が来るたびに まだ蘇る褪せてゆく淡い記憶 だ ...
消えない恋,https://j-lyric.net/artist/a051ed6/l01b6e5.html,超新星,Tomomichi,Face2fAKE,涙雨あふれる一人寂しい季節はうすれずに残ってい ...
消えない最後の夢よ,https://j-lyric.net/artist/a054ae6/l02390a.html,後藤又兵衛(小林ゆう),畑亜貴,川田瑠夏,言葉では足りないことだから目で語る ただ沈黙で繋ぐ ...
消えない生涯の恋,https://j-lyric.net/artist/a055a6a/l0415c6.html,8utterfly,Koyumi,四葉,じゃあまたどこかでと 小さく手を振るとっても痛くて ...
消えない宙(そら),https://j-lyric.net/artist/a057eff/l03d08d.html,昆夏美,Rico,齋藤真也,立ち止まる足音をふいに追い越す未来の脈動脆いプ ...
消えない宝,https://j-lyric.net/artist/a029db4/l00b254.html,MEGARYU,MEGARYU,MEGARYU,忘れない今日までのこと いつまでも消えない宝だから > ...
消えない宝 feat.PANG&lecca,https://j-lyric.net/artist/a029db4/l00b257.html,MEGARYU,MEGARYU,MEGARYU,(RYU REX & PANG)忘れない今日までの ...
きえないで,https://j-lyric.net/artist/a05458a/l026585.html,LOOP CHILD,柴野真理子,柴野真理子・篠崎哲也,消えないで　消えないでいつも聴こえる歌どんなと ...
きえないで,https://j-lyric.net/artist/a05efad/l048b2b.html,アイナ・ジ・エンド(BiSH),アイナ・ジ・エンド,アイナ・ジ・エンド,星のないプラネタリウム音が出なくなったギター味 ...
きえないで,https://j-lyric.net/artist/a05a0ed/l048bbe.html,アイナ・ジ・エンド,アイナ・ジ・エンド,アイナ・ジ・エンド,星のないプラネタリウム音が出なくなったギター味 ...
消えないで,https://j-lyric.net/artist/a05e9bf/l04b86f.html,Plot Scraps,陶山良太,陶山良太,いくつかの　淡い　不確かな影達が　君を通り過ぎた ...
消えないで…,https://j-lyric.net/artist/a0023d3/l00e212.html,yozuca,yozuca,yozuca,あの日約束した二人を覚えてる？いつもどこにいて ...
消えないトーチライト,https://j-lyric.net/artist/a0015e5/l05f556.html,KinKi Kids,堂島孝平,堂島孝平,あなたに会えた　今日のすべてを　この温もりを忘れな ...
消えない夏,https://j-lyric.net/artist/a0098e8/l01f03c.html,椎名恵,椎名恵,羽場仁志,あの夏の夜､二人の愛をあなたはどうして捨てたの...
消えない虹,https://j-lyric.net/artist/a00067d/l0004fc.html,B'z,稲葉浩志,松本孝弘,雨がやんだら 風が君の髪を乾かすだろう静かに動く空 ...
